Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
41ST AVE;INVERNESS ST;KNIGHT ST;50;VERY GOOD;"{""coordinates"": [[-123.07838380768405, 49.23292951522568], [-123.07769715901718, 49.2329199412865]], ""type"": ""LineString""}";49.23292472825609, -123.0780404833506
1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;23;GOOD;"{""coordinates"": [[-123.02815341343262, 49.269657909015706], [-123.02783724858831, 49.26965798561936]], ""type"": ""LineString""}";49.26965794731753, -123.02799533101047
70TH AVE;GRANVILLE ST;OAK ST;50;FAIR;"{""coordinates"": [[-123.13662344615086, 49.20876305848541], [-123.13593711667602, 49.208753989616646]], ""type"": ""LineString""}";49.20875852405103, -123.13628028141345
41ST AVE;EB STOP BAR AT OAK ST;CAMBIE ST;17;POOR;"{""coordinates"": [[-123.12709955449826, 49.234109284373275], [-123.12686637652716, 49.23410101408338]], ""type"": ""LineString""}";49.23410514922833, -123.1269829655127
